id,m,si,orient,off,curves,patch_ov,angles,lengths,whichEdge,mapping,iso_criteria,deep_criteria,aniso,min_block,block_criteria,block_bound,min_angle,spike_fatal,edge_ratio,on_clamp,vertex_figure,vdeg_match,homeo,wp,orbifold,evidence
4,3,0,0,0,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3m1,*333,L3
4,3,0,0,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3m1,*333,L3
4,3,0,0,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3m1,*333,L3
4,3,0,1,0,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3m1,*333,L3
4,3,0,1,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3m1,*333,L3
4,3,0,1,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_3,p3m1,*333,L3
30,3,0,0,0,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_1,p6m,*632,L3
30,3,0,0,1,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_1,p6m,*632,L3
30,3,0,0,2,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_1,p6m,*632,L3
30,3,0,1,0,III,not tested,60.00 60.00 60.00,1.0000 1.0000 1.0000,0 0 0,0 0 0,"1,2,6,8",,no (tile),,,,60.00,,1.0000,,6,yes,3_3 3_1,p6m,*632,L3
