image        no.   paper label             tegula id  source
-----------  ----  ----------------------  ---------  ------
p53_00.png   1     3_1 3_1 - 1a MN p6m     117        picked
p53_01.png   2     3_1 3_1 - 1b NF p31m    3172       auto
p53_02.png   3     3_1 3_1 - 1c NF p6      3205       auto
p53_03.png   4     3_1 3_1 - 2Ca MN p3m1   118        picked
p53_10.png   5     3_1 3_1 - 2Cb NF p3     3203       auto
p53_11.png   6     3_1 3_1 - 3a MNF p6m    3167       picked
p53_12.png   7     3_1 3_1 - 4a MNF cmm    3169       picked
p53_13.png   8     3_1 3_1 - 5a MNF p4m    3165       picked
p53_20.png   9     3_1 3_1 - 6a MNF p6m    3163       picked
p53_21.png   10    3_1 3_1 - 7a MNF p6m    3166       picked
p53_22.png   11    3_1 3_1 - 8a MNF cmm    3170       picked
p53_23.png   12    3_1 3_1 - 9Ca MNF p3m1  3162       picked
p53_30.png   13    3_1 3_1 - 10Ca MN p4m   116        picked
p53_31.png   14    3_1 3_1 - 10Cb NF pmm   3161       auto
p53_32.png   15    3_1 3_1 - 10Cc NF p4g   3171       auto
p53_33.png   16    3_1 3_1 - 10Cd NF p4    3204       auto
p53_40.png   17    3_1 3_1 - 11Ca MNF p4m  3164       picked
p53_41.png   18    3_1 3_1 - 12Ca MNF pmg  3174       picked
p53_42.png   19    3_1 3_1 - 13Ca MN pmg   123        picked
p53_43.png   20    3_1 3_1 - 13Cb NF p2    3188       auto
p54_00.png   21    3_1 3_1 - 13Cc NF pgg   3189       auto
p54_01.png   22    3_1 3_1 - 13Cd NF pg    3218       auto
p54_02.png   23    3_1 3_1 - 14Ca MNF pmg  3175       picked
p54_03.png   24    3_1 3_2 - 1a MN p6m     584        picked
p54_10.png   25    3_1 3_2 - 2a MN p4m     583        picked
p54_11.png   26    3_1 3_2 - 3Ca MN p6m    582        picked
p54_12.png   27    3_1 3_2 - 4Ca MN cmm    596        picked
p54_13.png   28    3_1 3_2 - 5a MN pmm     581        auto
p54_20.png   29    3_1 3_2 - 6a MN p6m     580        picked
p54_21.png   30    3_1 3_2 - 7a MN p4g     594        auto
p54_22.png   31    3_1 3_2 - 8a MN p4m     579        picked
p54_23.png   32    3_1 3_2 - 9a MN p6m     578        picked
p54_30.png   33    3_1 3_2 - 10a MN cmm    591        picked
p54_31.png   34    3_1 3_2 - 11a MN cmm    592        picked
p54_32.png   35    3_1 3_2 - 12Ca MN cmm   595        picked
p54_33.png   36    3_1 3_3 - 1a MN p3m1    31         auto
p54_40.png   37    3_1 3_3 - 1b N p3       416        auto
p54_41.png   38    3_1 3_3 - 2Ca MN p6m    30         auto
p54_42.png   39    3_1 3_3 - 2Cb N p31m    413        auto
p54_43.png   40    3_1 3_3 - 2Cc N p6      415        auto
p55_00.png   41    3_2 3_2 - 1Ca MNF p31m  3183       auto
p55_01.png   42    3_2 3_2 - 2Ca MN pmm    108        picked
p55_02.png   43    3_2 3_2 - 2Cb NF cmm    3182       auto
p55_03.png   44    3_2 3_2 - 2Cc NF pmg    3185       picked
p55_10.png   45    3_2 3_2 - 2Cd NF p2     3198       picked
p55_11.png   46    3_2 3_2 - 3Ca MNF p4g   3181       auto
p55_12.png   47    3_2 3_2 - 4Ca MNF cm    3180       auto
